KIN　ID	分類１	分類２	分類３	分類４	よみ	英語名称	英語よみ　カタカナ	起始	停止	支配神経	作用		支配神経画像	作用動画																																												
K10680			内肋間筋		ないろっかんきん	internal intercostal	インターナル インターコスタル	下位肋骨（上縁）	上位肋骨（下縁、内面）	肋間神経	肋骨を引き下げ、胸郭を狭める（呼息）																																															
K10690			肋下筋		ろっかきん	subcostal	サブコスタル	下位肋骨の肋骨角近くの内面	起始の肋骨より2-3下位の肋骨内面	肋間神経 	肋骨を引き下げ、呼気を行う																																															
K10700			胸横筋		きょうおうきん	transversus thoracis	トランスヴァーサス ソラスィス	胸骨体の下部と剣状突起の後面	第2(3)-6肋軟骨	肋間神経	肋骨を引き下げ、呼気を行う　																																															
K10710			短肋骨挙筋		たんろっこつきょきん	levatores costarum breves	リヴァトーリーズ カスタラム ブレヴィス	第7頚椎および第1-11胸椎の横突起	下位の肋骨の上縁で肋骨結節および肋骨角の間	第8頚神経後枝と胸神経の後枝 	肋骨を引き上げる（吸気の補助）																																															
K10720			長肋骨挙筋		ちょうろっこつきょきん	lebatores costarum longi	リヴァトーリーズ カスタラム ロンジー	第7頚椎および第1-11胸椎の横突起	１つおいて下位の肋骨の上縁で肋骨結節および肋骨角の間	第8頚神経後枝と胸神経の後枝 	肋骨を引き上げる（吸気の補助）																																															
K10730		横隔膜			おうかくまく	diaphragm	ダイアフラム	腰椎部・第1-4腰椎（椎体）。肋骨部・第7-12肋軟骨の内面。胸骨部・胸骨（剣状突起）、一部は腹横筋腱膜の内面	腱中心	横隔神経	胸腔を拡大し吸気に働く																																															
K10740	腹部					ABDOMEN																																																				
K10750		前腹筋																																																								
K10760			腹直筋		ふくちょくきん	rectus abdominis	レクタス アブドミニス	恥骨（恥骨結合、恥骨結節）	第5-7肋軟骨、胸骨（剣状突起）	肋間神経	胸郭の前壁を引き下げる。胸郭を固定すると骨盤の前部を引き下げ、同時に脊柱を前方に曲げる																																															
K10770			錐体筋		すいたいきん	pyramidalis	ピラミダリス	恥骨上縁	腹直筋鞘、白線の下端	肋間神経	白線を緊張し、腹直筋の作用を助ける																																															
K10780		側腹筋																																																								
K10790			外腹斜筋		がいふくしゃきん	external abdominal oblique	エクスターナル アブドミナル オブリーク	第5-12肋骨（外側面）	腸骨（腸骨稜）、鼠径靱帯、白線	肋間神経	両側が働く場合、脊柱を屈曲、腹圧を高めて腹式呼吸の呼気を補助する。片側が働く場合、同側に側屈させ、対側に回旋させる			S12300_V_010																																												
K10800			内腹斜筋		ないふくしゃきん	internal abdominal oblique	インターナル アブドミナル オブリーク	腸骨（腸骨稜）、鼠径靱帯、胸腰筋膜	第10-12肋骨（下縁）、白線	肋間神経、腸骨下腹神経、腸骨鼠径神経	両側が働く場合、脊柱を屈曲、腹圧を高めて腹式呼吸の呼気を補助する。片側が働く場合、同側に側屈させ、同側に回旋させる			S12300_V_010																																												
K10810			腹横筋		ふくおうきん	transversus abdominis	トランスヴァーサス アブドミニス	第6-12肋軟骨内面、胸腰筋膜、腸骨（腸骨稜内唇）、鼠径靱帯	腹直筋鞘、白線	肋間神経、腸骨下腹神経、腸骨鼠径神経	下位肋骨を下に引き、腹圧を高め、呼気を補助する																																															
K10820		後腹筋				Posterior abdominal wall muslces																																																				
K10830			腰方形筋		ようほうけいきん	quadratus lumborum	クアドラタス ランボラム	腰椎（肋骨突起）、腸骨（腸骨稜）、腸腰靱帯	第12肋骨（下縁）、上位3-4腰椎（肋骨突起）	腰神経叢	第12肋骨を引き下げ、腰椎を同側に側屈する。両側が同時に働けば腰椎を後屈する																																															
K10840	背部					BACK																																																				
K10850		浅背筋				Superficial group																																																				
K10860			僧帽筋		そうぼうきん	trapezius	トラピーズィアス	後頭骨（上項線、外後頭隆起）、項靱帯、第7頚椎以下全胸椎（棘突起）	鎖骨（外側1/3）、肩甲骨（肩峰、肩甲棘）	副神経、頚神経叢	上部・肩甲骨を挙上。中部・肩甲骨を内側に引く。下部・肩甲骨を内下方に引き下げると同時に外旋する			S21200_V_010																																												
K10870			広背筋		こうはいきん	latissimus dorsi	ラティスィマス ドーサイ	下位4-8胸椎・腰椎・仙椎（棘突起）、腸骨（腸骨稜）、下位3-4肋骨	上腕骨（小結節稜）	胸背神経	上腕を内転、さらに後内方に引く		K10870_C_000	S22200_V_010																																												
K10880			大菱形筋		だいりょうけいきん	rhomboid major	ロンボイド メイジャ	第1-4胸椎（棘突起）	肩甲骨（内側縁）	肩甲背神経	肩甲骨を内側上方に引く		K10880_C_000	S21400_V_010																																												
K10890			小菱形筋		しょうりょうけいきん	rhomboid minor	ロンボイド マイナ	第6-7頚椎（棘突起）	肩甲骨（内側縁）	肩甲背神経	肩甲骨を内側上方に引く		K10880_C_000	S21400_V_010																																												
K10900			肩甲挙筋		けんこうきょきん	levator scapulae	レヴェイタ スキャプリ	第1頚椎から第4頚椎（横突起）	肩甲骨（上角、内側縁の上方）	肩甲背神経	肩甲骨の挙上・下方回旋		K10880_C_000	S21100_V_010																																												
K10910		深背筋				Deep group																																																				
K10920			肋骨の筋			Respiratory group																																																				
K10930				上後鋸筋	じょうこうきょきん	serratus posterior superior 	セレイタス ポスティリア スーピアリア	第6、7頚椎と第1、2胸椎（棘突起）	第2-5肋骨	肋間神経	第2-5肋骨を引き上げる（吸気の補助）																																															
K10940				下後鋸筋	かこうきょきん	serratus posterior inferior 	セリタス ポスティリア インフィアリア	第11胸椎-第2腰椎（棘突起）	第9-12肋骨（外側部下縁）	肋間神経	第9-12肋骨を引き下げる（呼気の補助）																																															
K10950			脊柱の筋			Erector spinae																																																				
K10960				頭板状筋	とうばんじょうきん	splenius capitis	スプリーニアス キャピティス	下位5頚椎の高さにある項靱帯、上位2または3胸椎の棘突起	側頭骨の乳様突起、後頭骨上項線の外側部	頚神経の後枝の外側枝	片側が動くと頭をその側に回転し、顔面を上方かつその方向に傾ける。両側が同時に動くと頭を後方にそらし、顔面をあげる																																															
K10970				頚板状筋	けいばんじょうきん	splenius cervicis	スプリーニアス サーヴィシス	第3-6胸椎（棘突起）	第1-3頚椎（横突起）	頚神経	片側が動くと頭をその側に回転し、顔面を上方かつその方向に傾ける。両側が同時に動くと頭を後ろにそらし、顔面をあげる																																															
K10990				腸肋筋（脊柱起立筋）	ちょうろくきん（せきちゅうきりつきん）	iliocostalis	イリオコスタリス	腸骨（腸骨稜）、仙骨（後面）、第12-3（4）肋骨（肋骨角上縁）	第12-1肋骨（肋骨角）、第7-4(3)頚椎（横突起）	脊髄神経後枝	両側が働くと脊柱を伸展し、片側が働くと同側に屈曲する																																															
K11030				最長筋（脊柱起立筋）	さいちょうきん（せきちゅうきりつきん）	longissimus	ロンジィシマス	胸最長筋・腸骨（腸骨稜）、仙骨、腰椎（棘突起）。頚最長筋・胸椎（横突起）。頭最長筋・頚椎（関節突起）	胸最長筋・腰椎（副突起）、第3-5以下の肋骨、胸椎（横突起）。頚最長筋・第2-6頚椎（横突起）。頭最長筋・側頭骨（乳様突起）	脊髄神経後枝	両側が働くと脊柱を伸展し、片側が働くと同側に屈曲する																																															
K11070				棘筋（脊柱起立筋）	きょくきん（せきちゅうきりつきん）	spinalis	スパイナリス	"第2腰椎-第12,11胸椎棘突起"	"第8,9-第3,2,1胸椎棘突起"	脊髄神経後枝の内側枝	両側が働くと頚椎と胸椎を伸展する。片側が働くと頚椎と胸椎を同側に屈曲する																																															
K11120				半棘筋（横突棘筋）	はんきょくきん（おうとつきょくきん）	semispinalis	セミスパイナリス	頭半棘筋・上位6胸椎の横突起、下位3-4頚椎の関節突起。頚半棘筋・上位6胸椎の横突起。胸半棘筋・下位6胸椎の横突起	頭半棘筋・後頭骨の上項線と下項線の間の後頭鱗。頚半棘筋・第2－6頚椎の棘突起。胸半棘筋・上位胸椎および下位2頚椎の棘突起　	脊髄神経の後枝	脊柱の支持。両側が動くと脊柱を後方に曲げ、片側が動くと脊柱を同側に曲げ、反対側に回す																																															
K11160				多裂筋（横突棘筋）	たれつきん（おうとつきょくきん）	multifidus	マルティフィダス	仙骨（後面）、全腰椎（乳頭突起）、全胸椎（横突起）、第4-5頚椎までの関節突起（2-4個の椎骨を飛び越す）	腰椎以上軸椎までの棘突起	脊髄神経後枝	片側が働けば脊柱を同側に屈曲し、対側に回す。両側が働けば脊柱を伸展させる																																															
K11170				回旋筋（横突棘筋）	かいせんきん（おうとつきょくきん）	rotatores	ローテイトーレス	全胸椎の横突起上縁、頚椎の下関節突起、腰椎の乳頭突起	第5腰椎から第2頚椎までの棘突起	脊髄神経の後枝	片側が働けば脊柱を同側に曲げ、体側に回す。両側が働けば脊柱を後ろに反らせる																																															
K11240				棘間筋	きょくかんきん	interspinales	インタースピナリス	第2頚椎以下腰椎までの隣り合う椎骨の棘突起	第2頚椎以下腰椎までの隣り合う椎骨の棘突起	脊髄神経の後枝	脊柱を伸展する																																															
K11280				横突間筋	おうとつかんきん	intertransversarii	インタートランスヴァーセイリアイ	頚椎から腰椎までの隣り合う椎骨の横突起	頚椎から腰椎までの隣り合う椎骨の横突起	脊髄神経の後枝	脊柱を支持する																																															
K11340			後頭下筋群			Suboccipital muscles																																																				
K11350				大後頭直筋	だいこうとうちょくきん	rectus capitis posterior major	レクタス キャピティス ポスティアリア メイジャ	軸椎の棘突起	後頭骨の下項線の外側部	後頭下神経（第1頚神経の後枝）	頭を後方に引いて直立位に保持する																																															
K11360				小後頭直筋	しょうこうとうちょくきん	rectus capitis posterior minor	レクタス キャピティス ポスティアリア マイナ	環椎の後結節	後頭骨の下項線の内側部	後頭下神経（第1頚神経の後枝）	頭を後方に引いて直立位に保持する																																															
K11370				上頭斜筋	じょうとうしゃきん	obliquus capitis superior	オブリキュアス キャピティス スーピアリア	環椎の横突起	後頭骨の下項線の外側部	後頭下神経（第1頚神経の後枝）	頭を後方に引いて直立位に保持する																																															
K11380				下頭斜筋	かとうしゃきん	obliquus capitis inferior	オブリキュアス キャピティス インフィアリア	軸椎の棘突起	環椎の横突起	"後頭下神経（第1頚神経の後枝）"	頭を後方に引いて直立位に保持する																																															
K11390	上肢					UPPER LIMB																																																				
K11400		上肢帯の筋				Muscles of the pectoral girdle																																																				
K11410			三角筋		さんかくきん	deltoid	デルトイド	鎖骨（外側部）、肩甲骨（肩峰、肩甲棘）	上腕骨（三角筋粗面）	"腋窩神経"	肩関節の外転。前部・屈曲。後部・伸展、内転。中部・外転、屈曲		K11410_C_000	S22300_V_010																																												
K11420			棘上筋		きょくじょうきん	supraspinatus	スープラスパイネイタス	肩甲骨（棘上窩）、棘上筋膜	上腕骨（大結節上部）	肩甲上神経	肩関節の外転		K11420_C_000	S22300_V_010																																												
K11430			棘下筋		きょっかきん	infraspinatus	インフラスパイネイタス	肩甲骨（棘下窩）、棘下筋膜	上腕骨（大結節中部）	肩甲上神経	肩関節の外旋		K11420_C_000	S22500_V_010																																												
K11440			小円筋		しょうえんきん	teres minor	ティリーズ マイナ	肩甲骨（外側縁）	上腕骨（大結節下部）	"腋窩神経"	肩関節の外旋		K11440_C_000	S22500_V_010																																												
K11450			大円筋		だいえんきん	teres major	ティリーズ メイジャ	肩甲骨下角の後面	上腕骨の小結節稜	"肩甲下神経"	肩関節の内旋、内転、伸展		K11450_C_000	S22400_V_010																																												
K11460			肩甲下筋		けんこうかきん	subscapularis	サブスキャプラリス	肩甲骨（肩甲下窩）	上腕骨（小結節、小結節稜）	"肩甲下神経"	肩関節の内旋		K11460_C_000	S22600_V_010																																												
K11470		上腕の筋			じょうわんのきん	Muscles of the arm																																																				
K11480			上腕前面の筋																																																							
K11490				上腕二頭筋	じょうわんにとうきん	biceps brachii 	バイセプス ブレイキア	長頭・肩甲骨（関節上結節）。短頭・肩甲骨（烏口突起）	橈骨（橈骨粗面）、上腕二頭筋腱膜	"筋皮神経"	肘関節の屈曲、前腕の回外		K11490_C_000	S23100_V_010																																												
K11500				烏口腕筋	うこうわんきん	coracobrachialis	コラコブレイキアリス	肩甲骨の烏口突起	上腕骨の内側中央部	"筋皮神経"	肩関節の屈曲、内転		K11500_C_000	S22100_V_010																																												
K11510				上腕筋	じょうわんきん	brachialis	ブレイキアリス	上腕骨（前面）、内・外側の上腕筋間中隔、肘関節包前面	尺骨（尺骨粗面）	"筋皮神経、橈骨神経"	肘関節の屈曲		K11510_C_000	S23100_V_010																																												
K11520			上腕後面の筋																																																							
K11530				上腕三頭筋	じょうわんさんとうきん	triceps brachii 	トライセプス ブレイキア	長頭・肩甲骨（関節下結節）。外側頭・上腕骨（近位部後面）。内側頭・上腕骨（後面）	尺骨（肘頭）	橈骨神経	肘関節の伸展		K11530_C_000	S23200_V_010																																												
K11540				肘筋	ちゅうきん	anconeus	アンコウニーアス	上腕骨（外側上顆）	尺骨（肘頭外側面）	橈骨神経	肘関節の伸展		K11540_C_000	S23200_V_010																																												
K11550		前腕の筋			ぜんわんのきん	Muscles of the forearm																																																				
K11560			前腕前面の筋																																																							
K11570				円回内筋	えんかいないきん	pronator teres	プロネイタ ティリーズ	上腕骨頭・上腕骨の内側上顆と内側上腕筋間中隔。尺骨頭・尺骨の鈎状突起内側	橈骨の前面および外側面	"正中神経"	前腕の回内、肘関節の屈曲		K11570_C_000	S24100_V_010																																												
K11580				橈側手根屈筋	とうそくしゅこんくっきん	flexor carpi radialis	フレクサ カーパイ レイディアリス	上腕骨の内側上顆、前腕筋膜内面	第2、第3中手骨底	"正中神経"	手関節の掌屈、外転（橈屈）、前腕の回内		K11580_C_000	S25100_V_010																																												
K11590				長掌筋	ちょうしょうきん	palmaris longus	パルメイリス ロンガス	上腕骨の内側上顆、前腕筋膜内面	手掌腱膜	"正中神経"	手関節の掌屈、手掌腱膜を張る		K11590_C_000	S25100_V_010																																												
K11600				尺側手根屈筋	しゃくそくしゅこんくっきん	flexor carpi ulnaris	フレクサ カーパイ アルネイリス	上腕骨（内側上顆）、尺骨（肘頭）	豆状骨、有鈎骨、第5中手骨（底）	"尺骨神経"	手関節の掌屈、内転（尺屈）		K11600_C_000	S25100_V_010																																												
K11610				浅指屈筋	せんしくっきん	flexor digitorum superficialis	フレクサ ディジトーラム スーパーフィシィアリス	上腕尺側頭・上腕骨の内側上顆、尺骨粗面の内側。橈骨頭・橈骨の上方前面	第2-5指の中節骨底の掌面	"正中神経"	第2-5指の中手指節関節と近位指節間関節の屈曲（基節骨、中節骨の屈曲）		K11610_C_000																																													
